Mortgage Lender Name,Links-href,Lender Name,Physical address,Reviewer Name,Location,Review Date,Lender Overall Rating,Review Text
In-Florida Mortgage,https://www.yelp.com/biz/in-florida-mortgage-port-richey?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,In-Florida Mortgage,"9925 Grace Dr Port Richey, FL 34668",,,,,
Grayson Tom,https://www.yelp.com/biz/grayson-tom-seminole?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Grayson Tom,"7138 Seminole Blvd Seminole, FL 33772",,,,,
Jani Home Loans,https://www.yelp.com/biz/jani-home-loans-safety-harbor?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Jani Home Loans,,Morgan V.,"Fort Myers, FL",14-Aug-20,,Aj was awesome! He is very honest and will do his best to get you where you need to be! I had such a great experience purchasing my first home with him!
Jani Home Loans,https://www.yelp.com/biz/jani-home-loans-safety-harbor?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Jani Home Loans,,,,,,
Waterfall Bank,https://www.yelp.com/biz/waterfall-bank-clearwater?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Waterfall Bank,"500 McLennan St Clearwater, FL 33756",Jc H.,"San Francisco, CA",21-Jun-22,5,"I moved all my accounts from BofA to Waterfall (business and personal).  I'm so glad I did.  Personal service, meets all my business as well as personal needs, pleasant staff, no hassles, I'm very satisfied and glad I made the switch to Waterfall"
Waterfall Bank,https://www.yelp.com/biz/waterfall-bank-clearwater?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Waterfall Bank,"500 McLennan St Clearwater, FL 33756",,,,5,
Mortgageworks,https://www.yelp.com/biz/mortgageworks-bradenton?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Mortgageworks,"5110 26th St W Bradenton, FL 34207",,,,,
Morrin Robert,https://www.yelp.com/biz/morrin-robert-seminole?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Morrin Robert,,,,,,
Amanda Herrington,https://www.yelp.com/biz/amanda-herrington-palm-harbor-3?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Amanda Herrington,"30522 US19N Ste 107 Palm Harbor, FL 34684",,,,,
Rolph Mortgage - Tampa Bay,https://www.yelp.com/biz/rolph-mortgage-tampa-bay-st-petersburg?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Rolph Mortgage - Tampa Bay,,,,,,
Third Federal Savings & Loan,https://www.yelp.com/biz/third-federal-savings-and-loan-new-port-richey-4?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Third Federal Savings & Loan,"8270 Ridge Rd New Port Richey, FL 34654",kathy n.,"WI, WI",22-Nov-22,,Excellent service friendly helpful people. They do business and treat their customers as they should be treated. Try it you will not be disappointed.
Third Federal Savings & Loan,https://www.yelp.com/biz/third-federal-savings-and-loan-new-port-richey-4?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Third Federal Savings & Loan,"8270 Ridge Rd New Port Richey, FL 34654",Terry D.,"Port Richey, FL",4-Oct-21,,"I refinanced my house thru Third Federal Savings And Loan, last year.
The process was very very slow , while all the time jumping thru the hoops of Bank Statements and Paycheck stubs every week.
I started to question if the loan officer knew what she was doing on several levels.
I contacted the Chief loan officer to let her know did not have  much confidence in her abilities to process my mortgage loan, she reassured me that the loan officer was experienced and knew what she was doing.
I was not convinced!
I recently received a notice from State Farm Insurance that my Homeowners Policy was being cancelled.
I contacted Third Federal S & L and they told me that it was there business practice to not escrow for insurance, just taxes.
I have never heard that before I have had several mortgages throughout my life (I am 62) so this is not my first rodeo with mortgage companies.
My taxes and insurance always came from escrow that was part of my payment.
I would advise anyone seeking a mortgage or re-finance look elsewhere anywhere but Third Federal Savings and Loan they do not tell you that you have to come up with $3000.00 each year for homeowners insurance.
That's absurd and very poor (Business Practice)"
Third Federal Savings & Loan,https://www.yelp.com/biz/third-federal-savings-and-loan-new-port-richey-4?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Third Federal Savings & Loan,"8270 Ridge Rd New Port Richey, FL 34654",Nicole K.,"Fairbanks, AK",27-Jan-21,,"If 1985 was your ideal year for banking, 3rd Federal is perfect for you.  However, if you're used to a modern banking experience you're going to be extremely disappointed.
I was deployed overseas when my mother unexpectedly passed away.  She had a checking account and a CD with 3rd Federal; the checking had my sister on the account and I was apparently on the CD.  Florida has archaic laws regarding probate, which requires us to wait months before we can sell her house, meanwhile we have to continue to pay electricity, water and her HOA.
Trying to cash out this CD was the most painful experience ever.  My husband several states over has a general POA; when I first called this bank they said I just needed to send a letter of intent and they would send me a check.  Then it turned into my husband had to send the ORIGINAL POA, sign a bunch of forms, wait for them to get them, send more forms, have me send forms from the Middle East...it was like 10 forms they wanted.  Luckily my sister called, convinced them to just take a photocopy, and I sent them a picture of my driver's license and a letter saying my husband had my permission to cash out the CD.  Um, do they not know what a POA is for?  This took over a month just to get to this point.  They said they were not set up to do a bank wire transfer (who doesn't offer electronic bill pay?!) and so sent us a check.  They sent an over $5k check with no tracking number.  It took about 10 days to get it.
Thankfully I live nowhere near this bank and use a bank that offers modern amenities.  I have no idea what my parents were thinking using this one."
Third Federal Savings & Loan,https://www.yelp.com/biz/third-federal-savings-and-loan-new-port-richey-4?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Third Federal Savings & Loan,"8270 Ridge Rd New Port Richey, FL 34654",,,,,
Carson Wright - The Mortgage Firm NMLS 189233,https://www.yelp.com/biz/carson-wright-the-mortgage-firm-nmls-189233-st-petersburg?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Carson Wright - The Mortgage Firm NMLS 189233,"9600 Koger Blvd Ste 208 St. Petersburg, FL 33702",Tom T.,"Tampa Bay, FL",5-Nov-21,,"Tom Terrific here with another honest business review.

CARSON WRIGHT -The only name you need to know when it comes to getting a loan to buy a home or flood insurance. Carson works for Butler Mortgage - Powered By The Mortgage Firm.

I tried the bank where I had my savings and checking accounts for a home loan but they were soooo slow it was irritating and their interest rate was high.

When I needed a home loan, Carson was recommended to me by my Century 21 real estate agent Janelle Makowski, herself a 5 star agent. I was not used to dealing with home loans over the internet. I'm an ""in person"" guy and dislike much modern technology as I do not even own a cell phone, I have a landline. But Carson made it a breeze.

He informed me in writing and on the phone of what I needed to do. There were times that I was stumped as to how to proceed on viewing papers via the computer and he took me by the hand and led me through it step by step. We came upon obstacles and he cleared the way for me. Carson did not object to me visiting him in his office in St. Petersburg to hand him papers or sign documents that I was not tech savvy enough to do over the net. He always reminded me he was there for me for help.

Carson called me almost daily to check on my progress, sent emails regularly and offered his assistance at any time. Are you ready for this -- He called me on Saturdays and Sundays to help me and was available to me even at 9 pm at night!

Here's the bottom line: Carson got me a 2.99% loan and set me up with a company for homeowner's insurance that beat most of the competition by $500 to $1000 a year.

Carson is professional, knowledgeable, experienced, personable and best of all the most hard working and available loan officer imaginable.

CARSON WRIGHT of Butler Mortgage - Powered by The Mortgage Firm.
Carson's phone number - 407- 747-1492.
My highest recommendation!!"
Carson Wright - The Mortgage Firm NMLS 189233,https://www.yelp.com/biz/carson-wright-the-mortgage-firm-nmls-189233-st-petersburg?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Carson Wright - The Mortgage Firm NMLS 189233,"9600 Koger Blvd Ste 208 St. Petersburg, FL 33702",,,,,
NLC Loans - St. Petersburg,https://www.yelp.com/biz/nlc-loans-st-petersburg-st-petersburg?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,NLC Loans - St. Petersburg,"3201 34th St S St. Petersburg, FL 33711",John S.,"Tallahassee, FL",8-Aug-15,,"Rebecca Kruppa and NLC Loans were truely as good as it gets!  If you want a mortgage, even if your credit score is on the low side, call them.  Ask for Rebecca and tell her that John  in Tallahassee, Fl highly recommended her and NLC Loans.  These people were 1st class all the way!  When everyone else would not give me the time of day, they said...lets try and they got it done.  Simply Awesome."
NLC Loans - St. Petersburg,https://www.yelp.com/biz/nlc-loans-st-petersburg-st-petersburg?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,NLC Loans - St. Petersburg,"3201 34th St S St. Petersburg, FL 33711",,,,,
Capital Title Solutions,https://www.yelp.com/biz/capital-title-solutions-trinity?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Capital Title Solutions,"10710 State Road 54 Ste C101 Trinity, FL 34655",Joy M.,"New Port Richey, FL",8-Mar-19,,After recently buying a house and this company was used for the title company. I have never experienced so Much confusion and lack of experience. This is the worst title company I have ever experienced. It's taking them all day long to do a closing. Unbelievable
Capital Title Solutions,https://www.yelp.com/biz/capital-title-solutions-trinity?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Capital Title Solutions,"10710 State Road 54 Ste C101 Trinity, FL 34655",,,,,
Team Stapleton,https://www.yelp.com/biz/team-stapleton-vandyk-mortgage-company-st-petersburg?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Team Stapleton,"3035 5th Ave N VanDyk Mortgage Saint Petersburg, FL 33713",,,,5,
Mike Neill - Fidelity Mortgage Loans,https://www.yelp.com/biz/mike-neill-fidelity-mortgage-loans-valrico?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Mike Neill - Fidelity Mortgage Loans,,,,,,
Independent Mortgage Company,https://www.yelp.com/biz/independent-mortgage-company-bradenton?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Independent Mortgage Company,"1771 Manatee Ave W Bradenton, FL 34205",,,,,
LendSmart Mortgage,https://www.yelp.com/biz/lendsmart-mortgage-sarasota?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,LendSmart Mortgage,,,,,,
Legacy Mortgage Loans,https://www.yelp.com/biz/legacy-mortgage-loans-st-petersburg-2?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Legacy Mortgage Loans,"9800 4th St N Ste 200 St. Petersburg, FL 33702",,,,,
David Carr - Edge Home Finance,https://www.yelp.com/biz/david-carr-edge-home-finance-lakewood-ranch?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,David Carr - Edge Home Finance,"9040 Town Center Pkwy Lakewood Ranch, FL 34202",,,,,
Family First Mortgage,https://www.yelp.com/biz/family-first-mortgage-new-port-richey?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Family First Mortgage,"5147 Marine Pkwy New Port Richey, FL 34652",,,,,
My Mortgage Florida,https://www.yelp.com/biz/core-financial-bradenton-2?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,My Mortgage Florida,"4012 Cortez Rd W Ste 2202 Bradenton, FL 34210",,,,,
Gustavo E Saballos - Homeowners Financial Group,https://www.yelp.com/biz/gustavo-e-saballos-homeowners-financial-group-st-petersburg?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Gustavo E Saballos - Homeowners Financial Group,"150 2nd Ave N Ste 730 St. Petersburg, FL 33701",,,,,
Anclote Mortgage,https://www.yelp.com/biz/anclote-mortgage-tarpon-springs?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Anclote Mortgage,"27 W Tarpon Ave Tarpon Springs, FL 34689",,,,,
Access Reverse Mortgage,https://www.yelp.com/biz/access-reverse-mortgage-largo?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Access Reverse Mortgage,"7411 114th Ave Ste 301 Largo, FL 33773",Rebecca B.,"Beverly Hills, FL",16-Feb-22,5,"Please read my original review first
UPDATE:  I just completed refinancing my first reverse mortgage through Access.  If you are even remotely considering refinancing, please contact Mac Tennatt.  He will give you an accurate analysis of whether it would be to your benefit. The process was even easier and had lower settlement costs than my original reverse mortgage with them.  With Access, you will get the highest loan amount with the lowest settlement costs and close much faster than with the national reverse mortgage companies.  I'm so grateful I found Access."
Access Reverse Mortgage,https://www.yelp.com/biz/access-reverse-mortgage-largo?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Access Reverse Mortgage,"7411 114th Ave Ste 301 Largo, FL 33773",Rick L.,"Poinciana, FL",8-Nov-21,5,"This is the second time I have worked with Access Reverse Mortgage. Everyone is professional, courteous and above all very knowledgeable and responsive. They are one on the best organization I have ever worked with to complete a complex transaction."
Access Reverse Mortgage,https://www.yelp.com/biz/access-reverse-mortgage-largo?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Access Reverse Mortgage,"7411 114th Ave Ste 301 Largo, FL 33773",Lewis G.,"Seminole, FL",28-Feb-22,5,Once again Mac Tennant and his team have proven to be the only place I would ever consider for a Reverse Mortgage. This is the second time I have had the good fortune to work with Access Reverse Mortgage and it proved to be just as easy and painless as the first time. Mac and his team of professionals insured a stress-free process from start to finish and we were able to close in the comfort of our own home. Don't waste your time with any other mortgage cos. Call Mac first and save yourself allot of trouble.
Access Reverse Mortgage,https://www.yelp.com/biz/access-reverse-mortgage-largo?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Access Reverse Mortgage,"7411 114th Ave Ste 301 Largo, FL 33773",Glenn F.,"Tampa Palms, FL",12-Feb-20,5,Working with Malcolm and Pam was no work at. They did most everything for us. Unlike a big corporate company or bank they took an interest in our particular situation. They made sure the mortgage went through quickly and without a problem. It was really like working with best friends. I can't say enough about how lucky I feel to have chosen them to process our reverse mortgage. So much better than dealing with cold uncaring non family owned companies who couldn't care less about you. They made sure before sending the loan to the underwriters it would be perfect and it was. Quick and easy with no delays. Such a great family owned company!
Access Reverse Mortgage,https://www.yelp.com/biz/access-reverse-mortgage-largo?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Access Reverse Mortgage,"7411 114th Ave Ste 301 Largo, FL 33773",,,,5,
New Horizon Lending,https://www.yelp.com/biz/new-horizon-lending-new-port-richey?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,New Horizon Lending,"5510 River Rd New Port Richey, FL 34652",,,,,
The Mortgage Firm,https://www.yelp.com/biz/the-mortgage-firm-trinity?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,The Mortgage Firm,"2150 Seven Springs Blvd Trinity, FL 34655",Jeanine A.,"New Port Richey, FL",16-May-23,3,"If I could give a zero I would please do not trust your clients or your family members who have been in the military or need a home in any way to them. Their Broker Connie Walker went on vacation and even though i talked to her during vacation and then waited for the pre-approval after she got back she still didn't know what shes doing and during a contract she wants you to stop all inspections and everything 12 Hrs before because she hasnt done her job and now their clients money is at risk but never mind how the buyers hopes and dreams AND HOME are gone now too but they don't care about that because they don't know their own job so why would they care about what's going on with you I strongly suggest that you do not use this company. They say you don't need closing costs and you do. I had 5 %  for the client and then said he didn't need them so they were taken off to win the deal.....then contacted today to say we need them or he needs to wait 60 days to get his score up for the program she said he qualified for before and now doesnt. You get your hopes up just to be let down because their brokers are not upfront  or don't care. Even messaging Barry Horvath about his broker didn't initiate any response even though he read the messages...he chooses to ignore hoping for it to go away...but when someone who fought for this country was lied to and now homeless  in 20 days with his father in law dead the same week...and the problem ignored by barry horvath, someone who ran for office....I have a big problem with that..my client and veteran will be homeless in 20 days...how horrible for him and also shame on the company who built him up just to shut him down with a lack of work ethic and mis-truths. What a joke and my buyer will be out money too. Don't trust everyone who says they have your back! Look what just happened due to ""needing a vacation during peak season"" If you don't want to work during the season..don't complain about having any customers ..take vacations when everyone else who's busy does...during Halloween to Christmas."
The Mortgage Firm,https://www.yelp.com/biz/the-mortgage-firm-trinity?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,The Mortgage Firm,"2150 Seven Springs Blvd Trinity, FL 34655",Cheryl H.,"New Port Richey, FL",16-Aug-18,3,Such a hotty ...and a very professional mortgage expert!  Seriously this mortgage company has a great team in place for helping people thru the mortgage process and I highly recommend.
The Mortgage Firm,https://www.yelp.com/biz/the-mortgage-firm-trinity?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,The Mortgage Firm,"2150 Seven Springs Blvd Trinity, FL 34655",,,,3,
Mortgage Plus of Pasco,https://www.yelp.com/biz/mortgage-plus-of-pasco-hudson?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Mortgage Plus of Pasco,"7037 State Road 52 Hudson, FL 34667",,,,,
VanDyk Mortgage - Brian P.Forrester,https://www.yelp.com/biz/vandyk-mortgage-brian-p-forrester-palm-harbor-2?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,VanDyk Mortgage - Brian P.Forrester,"35095 US Highway 19 N Ste 107 Palm Harbor, FL 34684",,,,,
Steve Kelly - Pioneer Mortgage Funding,https://www.yelp.com/biz/steve-kelly-pioneer-mortgage-funding-clearwater?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Steve Kelly - Pioneer Mortgage Funding Inc. NMLS# 457758,"14450 46th St N Ste 112 St. Petersburg, FL 33707",,,,,
Peak Home Loans,https://www.yelp.com/biz/peak-home-loans-holmes-beach-2?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Peak Home Loans,"603 N Point Dr Holmes Beach, FL 34217",,,,,
Mary Babinski - Motto Mortgage Champions,https://www.yelp.com/biz/mary-babinski-motto-mortgage-champions-trinity?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Mary Babinski - Motto Mortgage Champions,"11541 Trinity Blvd Trinity, FL 34655",,,,,
Align Right Realty Westshore,https://www.yelp.com/biz/align-right-realty-westshore-tampa-4?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Align Right Realty Westshore,"5440 Mariner St Ste 200 Tampa, FL 33609",Don J.,"Montverde, FL",13-Sep-21,,"STAY AWAY from Align Right Realty. Got a call from their Khairi Salah with a trick offer that turns to be something many would consider a SCAM. Told me that they have already rich buyers that will pay more than we asked and we should give them 3% in what seems to me as a scam ""under the table"" or overcharge the buyer."
Align Right Realty Westshore,https://www.yelp.com/biz/align-right-realty-westshore-tampa-4?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Align Right Realty Westshore,"5440 Mariner St Ste 200 Tampa, FL 33609",,,,,
Gold Key Mortgage Services,https://www.yelp.com/biz/gold-key-mortgage-services-bradenton?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Gold Key Mortgage Services,"4909 Manatee Ave W Bradenton, FL 34209",Bradley H.,"Brandywine, MD",17-Aug-20,,NOPE! They won't even answer requests after 3 weeks and 3 times trying.
Gold Key Mortgage Services,https://www.yelp.com/biz/gold-key-mortgage-services-bradenton?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Gold Key Mortgage Services,"4909 Manatee Ave W Bradenton, FL 34209",,,,,
Reuben Fernandez-Frias Financial,https://www.yelp.com/biz/reuben-fernandez-frias-financial-longboat-key?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Reuben Fernandez-Frias Financial,"606 Weston Pointe Ct Longboat Key, FL 34228",,,,,
"Meagan Robinson, Realtor",https://www.yelp.com/biz/meagan-robinson-realtor-tampa?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,"Meagan Robinson, Realtor",,Doris P.,"San Francisco, CA",7-Nov-22,,"Meagan walked me though the process of selling my home in Clearwater. She came up with creative solutions to help my specific needs, made the transition of moving from my home of 27 years seamless, and negotiated like a pro to sell my home for more than I could have imagined. I am so happy in my new home and grateful that I chose Meagan to help me with the process. I would highly recommend her to anyone needing assistance from a real estate agent who cares!"
"Meagan Robinson, Realtor",https://www.yelp.com/biz/meagan-robinson-realtor-tampa?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,"Meagan Robinson, Realtor",,Heather W.,"Clearwater, FL",19-Jun-20,,"I've known Meagan Robinson for years and had seen her passion in helping people find their dream homes. It's so evident she loves what she does and it's exactly the reason I wanted to work with her when I was ready to buy my own home. I reached out to her and her team two years ago to find out where I should start in the process. I was given solid advice that I worked hard to implement. 

When I was ready, so were they! Morgan Gall, my lender, was able to get me approved, rather quickly.  Every question I had (& there were plenty!) was answered completely and thoroughly to my full understanding. Then the hunt began! I prepared myself for a lengthy search although I was hopeful with each listing we visited. 

Meagan listened to my bizarre logic on laundry room locations and respected my intuition when I didn't dig specific houses. She paid attention to my style, my needs and the little things I wanted in a home and when the house that ultimately became my home popped up on her phone - mins after being listed! - her instincts immediately started tingling. She had a feeling this could be ""the one"", without even showing me a single picture we drove over as quickly as we could and within minutes WE knew! I'm so incredibly grateful for her insight and attentiveness. She was a steller agent from start to finish. Her communication throughout was consistent, clear, professional and prompt, something that is so important to me! I will recommend her indefinitely! 

This has been such a wonderful experience as a first time home buyer. I appreciate how you took the time to help me understand each step of the process and inform me of all my options along the way. Thank you so much for helping me get into MY HOME!"
"Meagan Robinson, Realtor",https://www.yelp.com/biz/meagan-robinson-realtor-tampa?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,"Meagan Robinson, Realtor",,,,,,
Mortgage Lenders Research & Consulting Svcs,https://www.yelp.com/biz/mortgage-lenders-research-and-consulting-svcs-tampa?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Mortgage Lenders Research & Consulting Svcs,"14708 Waterchase Blvd Tampa, FL 33626",,,,,
Robert Harris- Mortgage Originator,https://www.yelp.com/biz/robert-harris-mortgage-originator-seminole?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Robert Harris- Mortgage Originator,"6933 Greenbrier Dr Seminole, FL 33777",,,,,
Sandon Mortgage Group,https://www.yelp.com/biz/sandon-mortgage-group-saint-petersburg?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Sandon Mortgage Group,"9800 4th St N Ste 200 Saint Petersburg, FL 33702",,,,,
Brittney Wood - American Financial Network,https://www.yelp.com/biz/brittney-wood-american-financial-network-clearwater-2?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Brittney Wood - American Financial Network,"2424 Enterprise Rd Ste G Office 100 & 101 Clearwater, FL 33763",Tj L.,"Tampa Bay, FL",7-Mar-24,,I highly recommend using Brittney as your Loan Officer. Her attention to detail was impeccable and she was also easy to reach at anytime to answer all my questions. She walked me through every step of the process and explained it all to me so I could understand the process better. Thank you Brittney for your 5 Star Service
Brittney Wood - American Financial Network,https://www.yelp.com/biz/brittney-wood-american-financial-network-clearwater-2?osq=Mortgage+Brokers&override_cta=Request+pricing+%26+availability,Brittney Wood - American Financial Network,"2424 Enterprise Rd Ste G Office 100 & 101 Clearwater, FL 33763",,,,,
